stage,freq_hz,amount,level_dbfs,thd_percent,h2_dbc,h3_dbc,h4_dbc,h5_dbc
TUBE,50,0.25,-30,0.0554673,-65.1197,-104.84,-137.515,-155.898
TUBE,50,0.25,-24,0.109563,-59.2086,-92.8581,-134.026,-153.98
TUBE,50,0.25,-18,0.214233,-53.3901,-80.8308,-119.113,-156.908
TUBE,50,0.25,-12,0.410292,-47.7723,-68.7942,-105.092,-134.025
TUBE,50,0.25,-6,0.753724,-42.6206,-56.7467,-89.8626,-110.284
TUBE,50,0.25,0,1.29734,-38.7006,-44.763,-74.7334,-86.1872
TUBE,50,0.5,-30,0.191712,-54.3478,-92.0195,-129.487,-161.649
TUBE,50,0.5,-24,0.377211,-48.4714,-79.9748,-116.077,-156.601
TUBE,50,0.5,-18,0.731067,-42.7341,-67.8943,-100.607,-133.141
TUBE,50,0.5,-12,1.37063,-37.3235,-55.7639,-84.0486,-109.022
TUBE,50,0.5,-6,2.39145,-32.7702,-43.6334,-67.7991,-84.4587
TUBE,50,0.5,0,3.84169,-30.8261,-31.9077,-54.356,-60.5008
TUBE,50,0.75,-30,0.564241,-44.9722,-79.6584,-113.061,-152.665
TUBE,50,0.75,-24,1.09969,-39.181,-67.5144,-96.6329,-133.156
TUBE,50,0.75,-18,2.08169,-33.6618,-55.2574,-79.4946,-109.675
TUBE,50,0.75,-12,3.66864,-28.8807,-42.8936,-62.7847,-84.1934
TUBE,50,0.75,-6,5.62803,-26.3234,-30.8582,-48.6059,-58.8776
TUBE,50,0.75,0,9.52396,-31.3888,-20.8939,-43.791,-38.049
TUBE,50,1,-30,1.51402,-36.4005,-67.7926,-93.2861,-132.864
TUBE,50,1,-24,2.88137,-30.8235,-55.3289,-75.8352,-113.565
TUBE,50,1,-18,5.10099,-25.9423,-42.5804,-58.8402,-86.6566
TUBE,50,1,-12,7.62945,-23.1965,-30.0358,-44.3107,-58.0975
TUBE,50,1,-6,11.2484,-26.9003,-19.9132,-38.2431,-36.1629
TUBE,50,1,0,20.6745,-33.5065,-14.2272,-39.3342,-24.2142
TUBE,1000,0.25,-30,0.0554293,-65.1257,-104.906,-129.985,-165.03
TUBE,1000,0.25,-24,0.109508,-59.213,-92.8677,-147.178,-156.563
TUBE,1000,0.25,-18,0.214128,-53.3943,-80.8528,-126.275,-152.435
TUBE,1000,0.25,-12,0.410106,-47.7761,-68.815,-108.392,-133.897
TUBE,1000,0.25,-6,0.753417,-42.6235,-56.7674,-91.2324,-110.37
TUBE,1000,0.25,0,1.29667,-38.7011,-44.7834,-75.385,-86.2393
TUBE,1000,0.5,-30,0.191449,-54.3597,-92.058,-140.488,-155.672
TUBE,1000,0.5,-24,0.376693,-48.4833,-80.0153,-119.152,-158.88
TUBE,1000,0.5,-18,0.730084,-42.7457,-67.9355,-102.033,-133.527
TUBE,1000,0.5,-12,1.36884,-37.3344,-55.8047,-84.6206,-109.212
TUBE,1000,0.5,-6,2.38825,-32.7794,-43.6742,-68.0758,-84.5684
TUBE,1000,0.5,0,3.83288,-30.8304,-31.9467,-54.5548,-60.6107
TUBE,1000,0.75,-30,0.563037,-44.9907,-79.7181,-115.48,-153.497
TUBE,1000,0.75,-24,1.09737,-39.1993,-67.5728,-97.4732,-135.431
TUBE,1000,0.75,-18,2.07737,-33.6795,-55.316,-79.8539,-110.219
TUBE,1000,0.75,-12,3.66105,-28.8969,-42.9523,-62.9936,-84.3742
TUBE,1000,0.75,-6,5.61244,-26.3351,-30.9152,-48.7697,-59.0357
TUBE,1000,0.75,0,9.4725,-31.4054,-20.9407,-43.9808,-38.2046
TUBE,1000,1,-30,1.50983,-36.4246,-67.8661,-93.8599,-151.279
TUBE,1000,1,-24,2.8735,-30.8471,-55.4031,-76.1229,-118.069
TUBE,1000,1,-18,5.08726,-25.9645,-42.655,-59.0385,-87.0432
TUBE,1000,1,-12,7.60484,-23.2142,-30.1086,-44.48,-58.2971
TUBE,1000,1,-6,11.1753,-26.9098,-19.9738,-38.4095,-36.3601
TUBE,1000,1,0,20.5993,-33.7826,-14.2386,-39.248,-24.3706
IRON,50,0.25,-30,0.00162065,-170.081,-95.8062,-189.859,-186.372
IRON,50,0.25,-24,0.00642929,-170.081,-83.8367,-189.859,-141.818
IRON,50,0.25,-18,0.0252354,-170.081,-71.9599,-189.859,-118.422
IRON,50,0.25,-12,0.0950522,-170.083,-60.442,-189.861,-95.9238
IRON,50,0.25,-6,0.309096,-170.088,-50.2119,-189.879,-75.2184
IRON,50,0.25,0,0.672916,-170.105,-43.5675,-189.989,-58.9912
IRON,50,0.5,-30,0.00458725,-170.044,-86.769,-189.717,-154.3
IRON,50,0.5,-24,0.0182035,-170.044,-74.7969,-189.716,-129.565
IRON,50,0.5,-18,0.0715063,-170.044,-62.9133,-189.713,-106.382
IRON,50,0.5,-12,0.269756,-170.046,-51.3826,-189.701,-84.8627
IRON,50,0.5,-6,0.878229,-170.056,-41.1434,-189.69,-65.7005
IRON,50,0.5,0,1.91537,-170.096,-34.4817,-189.859,-49.9323
IRON,50,0.75,-30,0.00882219,-170.006,-81.0885,-189.58,-145.254
IRON,50,0.75,-24,0.0350216,-170.006,-69.1133,-189.576,-121.172
IRON,50,0.75,-18,0.137736,-170.007,-57.2194,-189.561,-98.1074
IRON,50,0.75,-12,0.520719,-170.008,-45.6711,-189.505,-77.1271
IRON,50,0.75,-6,1.69661,-170.018,-35.4267,-189.357,-59.3488
IRON,50,0.75,0,3.69646,-170.07,-28.7712,-189.346,-44.2678
IRON,50,1,-30,0.0142825,-169.97,-76.9039,-189.447,-138.696
IRON,50,1,-24,0.0567205,-169.969,-64.9252,-189.437,-114.816
IRON,50,1,-18,0.223401,-169.969,-53.0189,-189.401,-91.8457
IRON,50,1,-12,0.846672,-169.967,-41.4504,-189.26,-71.1572
IRON,50,1,-6,2.75813,-169.968,-31.2097,-188.83,-54.4098
IRON,50,1,0,5.96825,-170.001,-24.6101,-188.334,-40.1708
IRON,1000,0.25,-30,8.73589e-07,-180.243,-163.871,-191.443,-170.929
IRON,1000,0.25,-24,2.32129e-06,-189.472,-153.613,-186.698,-164.968
IRON,1000,0.25,-18,7.26557e-06,-178.251,-142.845,-180.247,-169.389
IRON,1000,0.25,-12,2.72521e-05,-186.955,-131.35,-200.506,-150.236
IRON,1000,0.25,-6,9.80657e-05,-189.83,-120.38,-181.428,-133.858
IRON,1000,0.25,0,0.000318998,-187.929,-110.296,-183.447,-121.872
IRON,1000,0.5,-30,4.48795e-06,-193.219,-147.313,-193.591,-179.721
IRON,1000,0.5,-24,1.57892e-05,-180.201,-136.036,-181.654,-175.072
IRON,1000,0.5,-18,5.6154e-05,-179.012,-125.031,-185.486,-148.847
IRON,1000,0.5,-12,0.000185341,-181.916,-114.752,-190.998,-130.741
IRON,1000,0.5,-6,0.00056229,-192.334,-105.325,-188.304,-116.939
IRON,1000,0.5,0,0.00156957,-191.323,-96.6723,-193.165,-106.195
IRON,1000,0.75,-30,2.06662e-05,-184.353,-133.697,-185.866,-170.634
IRON,1000,0.75,-24,7.83889e-05,-186.861,-122.117,-185.972,-155.947
IRON,1000,0.75,-18,0.0002612,-199.319,-111.685,-186.832,-134.248
IRON,1000,0.75,-12,0.000724398,-186.541,-102.954,-183.388,-117.539
IRON,1000,0.75,-6,0.00188289,-181.335,-94.9012,-183.004,-105.658
IRON,1000,0.75,0,0.00466261,-186.016,-87.3111,-191.003,-96.1859
IRON,1000,1,-30,7.33334e-05,-186.673,-122.694,-194.718,-165.877
IRON,1000,1,-24,0.000273205,-182.077,-111.272,-191.594,-144.26
IRON,1000,1,-18,0.000870071,-183.762,-101.236,-182.472,-123.301
IRON,1000,1,-12,0.00210759,-185.265,-93.7159,-180.383,-107.347
IRON,1000,1,-6,0.00481041,-182.375,-86.8162,-183.066,-96.9795
IRON,1000,1,0,0.0107787,-182.552,-80.0975,-194.564,-88.6021
